Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume;Bid_Ask_Spread;Capitalizacion_Mercado
30/05/2023;27.702.349.609.375;28.044.759.765.625;27.588.501.953.125;27.745.123.046.875;13251081851;-0.0015702994220325468;367086102138846.0;4.562.578.125;367086102138846.0
31/05/2023;27.219.658.203.125;27.831.677.734.375;26.866.453.125;27.700.529.296.875;15656371534;-0.017577792723265092;426161081856615.8;965.224.609.375;426161081856615.8
1/06/2023;2.681.997.265.625;2.734.610.546.875;26.671.720.703.125;27.218.412.109.375;14678970415;-0.014792581991188054;393689585152202.7;674.384.765.625;393689585152202.7
2/06/2023;2.724.958.984.375;27.303.861.328.125;2.657.464.453.125;26.824.556.640.625;14837415000;0.01589161106579633;404313473091503.9;729.216.796.875;404313473091503.9
3/06/2023;2.707.512.890.625;27.317.052.734.375;2.695.800.390.625;2.725.232.421.875;8385597470;-0.006422915434419119;227041132456173.88;359.048.828.125;227041132456173.88
4/06/2023;2.711.906.640.625;2.740.701.953.125;26.968.224.609.375;27.075.123.046.875;9360912318;0.0016214839752998166;253859202774925.62;438.794.921.875;253859202774925.62
5/06/2023;2.576.009.765.625;27.129.982.421.875;2.544.516.796.875;27.123.109.375;21513292646;-0.051410345698891795;554184519468444.94;1.684.814.453.125;554184519468444.94
6/06/2023;27.238.783.203.125;273.138.203.125;254.348.671.875;25.732.109.375;21929670693;0.05581511856233619;597337545722551.0;1.878.953.125;597337545722551.0
7/06/2023;26.345.998.046.875;27.332.181.640.625;2.614.698.828.125;27.235.650.390.625;19530045082;-0.03332542412080894;514538529585752.7;1.185.193.359.375;514538529585752.7
8/06/2023;26.508.216.796.875;26.797.513.671.875;262.466.640.625;26.347.654.296.875;11904824295;0.006138366063704449;315575663340564.56;550.849.609.375;315575663340564.56
9/06/2023;26.480.375;267.702.890.625;26.339.314.453.125;26.505.923.828.125;11015551640;-0.001050860137740086;291695938259065.0;430.974.609.375;291695938259065.0
10/06/2023;25.851.240.234.375;26.531.044.921.875;255.018.359.375;2.648.176.171.875;19872933189;-0.024045314677471934;513739970030523.06;1.029.208.984.375;513739970030523.06
11/06/2023;2.594.016.796.875;26.203.439.453.125;25.668.986.328.125;2.585.403.125;10732609603;0.0034340762243438776;278405695844839.25;534.453.125;278405695844839.25
12/06/2023;25902.5;26.087.919.921.875;25.675.197.265.625;2.593.428.515.625;11677889997;-0.0014531650030546537;302486545647292.5;41.272.265.625;302486545647292.5
13/06/2023;25.918.728.515.625;263.763.515.625;25.728.365.234.375;2.590.294.140.625;14143474486;0.0006263269559741463;366580875470302.8;647.986.328.125;366580875470302.8
14/06/2023;2.512.467.578.125;2.604.180.078.125;2.490.215.234.375;259.202.578.125;14265717766;-0.031115354032620144;358421533657568.06;11.396.484.375;358421533657568.06
